"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IT-North","31.07.2021 14:00 - 31.07.2021 15:00 (CET/CEST)","224","n/e","16","4759","0","1","n/e","n/e","n/e","309","","3756","595","n/e","n/e","1125","n/e","3143","24","n/e","20"
"BZN|IT-North","31.07.2021 15:00 - 31.07.2021 16:00 (CET/CEST)","227","n/e","16","5756","0","1","n/e","n/e","n/e","250","","3871","622","n/e","n/e","1160","n/e","2272","25","n/e","22"
"BZN|IT-North","31.07.2021 16:00 - 31.07.2021 17:00 (CET/CEST)","228","n/e","16","6496","0","1","n/e","n/e","n/e","205","","4200","736","n/e","n/e","1161","n/e","1806","24","n/e","15"
"BZN|IT-North","31.07.2021 17:00 - 31.07.2021 18:00 (CET/CEST)","229","n/e","16","6581","0","1","n/e","n/e","n/e","650","","4645","1209","n/e","n/e","1173","n/e","1336","25","n/e","15"
"BZN|IT-North","31.07.2021 18:00 - 31.07.2021 19:00 (CET/CEST)","232","n/e","16","6326","0","11","n/e","n/e","n/e","927","","5208","1311","n/e","n/e","1120","n/e","635","25","n/e","14"
"BZN|IT-North","31.07.2021 19:00 - 31.07.2021 20:00 (CET/CEST)","232","n/e","15","6482","0","2","n/e","n/e","n/e","971","","5707","1288","n/e","n/e","1075","n/e","159","25","n/e","10"
"BZN|IT-North","31.07.2021 20:00 - 31.07.2021 21:00 (CET/CEST)","233","n/e","15","6137","0","2","n/e","n/e","n/e","856","","5631","1322","n/e","n/e","1046","n/e","9","32","n/e","13"
"BZN|IT-North","31.07.2021 21:00 - 31.07.2021 22:00 (CET/CEST)","234","n/e","16","6341","0","12","n/e","n/e","n/e","602","","5870","1176","n/e","n/e","1023","n/e","0","34","n/e","17"
"BZN|IT-North","31.07.2021 22:00 - 31.07.2021 23:00 (CET/CEST)","235","n/e","14","5710","0","2","n/e","n/e","n/e","834","","4862","718","n/e","n/e","947","n/e","0","39","n/e","21"
"BZN|IT-North","31.07.2021 23:00 - 01.08.2021 00:00 (CET/CEST)","236","n/e","14","5139","0","12","n/e","n/e","n/e","627","","4536","993","n/e","n/e","930","n/e","0","37","n/e","20"
